,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Customer_Days,AcceptedCmpOverall,Rango_Edad,Rango_Antiguedad,Monto Total,Marital_Status,Education
520,76982,0,0,464,79,292,65,60,30,1,8,3,4,4,1,53,2293,1,50-59,6 años,1062,Divorced,Graduation
521,57247,0,1,99,4,32,37,54,6,2,2,1,7,2,0,68,2484,0,60-69,6 años,232,Together,2n Cycle
522,22944,1,0,19,3,19,4,5,26,3,3,0,3,7,0,39,2347,0,30-39,6 años,76,Single,Master
523,25315,1,0,1,9,8,11,3,22,3,3,0,3,8,0,43,2393,0,40-49,6 años,54,Together,2n Cycle
524,43638,0,1,63,10,83,7,19,19,2,4,1,4,7,0,51,2851,0,50-59,7 años,201,Widow,Graduation
525,42710,1,0,252,3,42,4,3,102,2,4,5,3,6,0,36,2737,0,30-39,7 años,406,Single,PhD
526,84169,0,0,1230,19,403,0,19,0,1,7,6,6,3,1,38,2485,2,30-39,6 años,1919,Married,PhD
527,54058,0,1,198,18,252,32,83,54,2,4,6,8,3,0,44,2549,0,40-49,6 años,662,Together,Graduation
528,24683,1,0,8,4,10,6,7,6,2,2,0,4,5,0,30,2272,0,30-39,6 años,41,Married,2n Cycle
529,85620,0,0,416,46,555,60,83,46,1,3,6,4,1,1,56,2332,0,50-59,6 años,1600,Widow,Graduation
530,47850,1,0,42,7,43,20,12,10,1,3,0,4,6,0,40,2367,0,40-49,6 años,134,Married,Graduation
531,19514,1,1,14,3,21,2,1,28,4,3,1,2,8,1,52,2313,1,50-59,6 años,69,Married,Graduation
532,27159,1,1,17,0,3,0,0,1,2,1,0,3,6,0,47,2251,0,40-49,6 años,21,Married,Master
533,39548,1,1,15,4,10,3,4,18,2,1,1,3,3,0,57,2249,0,50-59,6 años,54,Single,2n Cycle
534,21474,1,0,6,16,24,11,0,34,2,3,1,2,7,1,31,2241,1,30-39,6 años,91,Single,Graduation
535,60504,0,1,458,0,24,6,4,34,2,6,2,8,6,0,49,2301,0,40-49,6 años,526,Single,PhD
536,22419,0,0,30,3,47,19,21,42,1,3,2,2,8,0,57,2596,0,50-59,7 años,162,Married,Graduation
537,81698,0,0,179,28,520,111,83,47,1,3,8,13,1,1,71,2394,0,70+,6 años,1008,Married,Master
538,43462,1,1,90,17,97,15,6,15,6,4,1,5,8,0,68,2814,0,60-69,7 años,240,Together,Graduation
539,54880,1,0,308,79,137,102,45,118,2,6,2,11,5,0,42,2644,0,40-49,7 años,795,Single,PhD
540,79908,0,0,557,79,555,29,83,111,1,5,6,7,2,0,38,2609,1,30-39,7 años,1772,Married,Graduation
541,15315,0,0,7,4,13,15,8,17,2,2,0,4,5,0,50,2489,0,50-59,6 años,64,Married,2n Cycle
542,87771,0,1,1230,38,287,50,57,33,1,5,10,4,6,1,61,2562,4,60-69,7 años,1957,Together,Graduation
543,33039,1,0,30,8,12,8,8,12,1,2,0,4,5,0,42,2452,0,40-49,6 años,78,Married,Graduation
544,81741,0,0,249,79,555,58,83,38,0,6,6,7,2,0,40,2537,0,40-49,6 años,1572,Single,Graduation
545,71499,0,1,465,25,132,120,0,37,2,8,3,13,4,0,49,2528,0,40-49,6 años,795,Together,Master
546,62466,0,1,129,79,259,120,83,83,5,6,3,12,4,0,50,2324,0,50-59,6 años,889,Married,2n Cycle
547,48799,0,1,174,18,81,28,6,24,3,3,2,7,3,0,57,2395,0,50-59,6 años,331,Divorced,PhD
548,52157,0,1,189,2,29,3,2,40,2,3,2,5,4,0,70,2181,0,70+,5 años,265,Together,PhD
549,66565,0,1,747,10,161,65,40,42,4,4,2,9,8,0,58,2730,0,50-59,7 años,1065,Single,Graduation
550,29298,1,1,6,0,2,2,0,1,1,1,0,2,5,0,69,2454,0,60-69,6 años,11,Together,Master
551,47691,0,1,14,0,3,0,0,4,1,1,0,2,6,0,41,2518,0,40-49,6 años,21,Single,Graduation
552,38200,1,1,12,0,4,0,0,1,1,1,0,2,7,0,50,2728,0,50-59,7 años,17,Together,Graduation
553,44989,0,1,98,0,106,49,10,106,5,5,1,5,6,0,46,2814,0,40-49,7 años,369,Married,Graduation
554,38443,1,1,32,0,5,0,0,1,2,1,0,3,7,0,52,2312,0,50-59,6 años,38,Married,PhD
555,38593,1,0,51,12,49,17,24,24,3,4,1,3,8,0,42,2448,0,40-49,6 años,177,Single,2n Cycle
556,64413,0,1,200,5,44,0,10,20,1,5,1,5,5,0,50,2491,0,50-59,6 años,279,Together,PhD
557,36959,1,0,25,6,25,6,0,0,2,2,0,3,8,0,39,2429,0,30-39,6 años,62,Married,Master
558,61996,0,1,1050,12,144,0,0,24,3,6,4,8,5,1,43,2673,3,40-49,7 años,1230,Married,PhD
559,51287,1,1,117,0,22,13,0,30,3,4,1,3,7,0,52,2248,0,50-59,6 años,182,Married,Graduation
560,13260,1,1,9,4,17,10,2,7,4,3,0,3,8,0,50,2469,0,50-59,6 años,49,Married,Graduation
561,47472,1,1,56,0,11,0,0,8,2,2,0,4,5,0,54,2445,0,50-59,6 años,75,Together,PhD
562,54603,1,1,145,13,46,17,2,4,6,4,2,4,7,0,64,2514,0,60-69,6 años,227,Together,Master
563,45207,1,1,203,0,10,0,0,2,5,3,1,6,6,0,46,2755,1,40-49,7 años,215,Married,PhD
564,40689,0,1,270,3,27,39,6,99,6,7,1,5,8,0,69,2627,0,60-69,7 años,444,Together,Graduation
565,47821,1,1,9,0,16,6,6,10,1,1,0,3,8,0,53,2411,0,50-59,6 años,47,Together,2n Cycle
566,27450,0,0,37,12,23,8,11,52,1,2,1,3,7,0,69,2599,0,60-69,7 años,143,Married,Master
567,39453,1,0,46,0,7,0,0,2,2,2,0,3,6,0,37,2246,0,30-39,6 años,55,Together,Graduation
568,26850,1,1,31,1,13,7,2,9,4,2,1,4,4,0,49,2231,0,40-49,6 años,63,Together,2n Cycle
569,79800,0,0,1060,21,530,32,0,126,1,5,10,5,3,1,65,2803,3,60-69,7 años,1867,Widow,Graduation
570,61794,0,1,264,47,188,54,47,11,2,4,4,10,2,0,59,2447,0,50-59,6 años,611,Married,Master
571,53863,0,1,399,4,30,6,4,30,3,7,1,7,7,0,65,2202,1,60-69,6 años,473,Together,Graduation
572,24221,0,0,8,9,9,2,5,22,1,1,1,3,4,0,61,2472,0,60-69,6 años,55,Together,Graduation
573,39684,1,0,19,0,35,6,4,17,2,2,1,2,7,1,36,2784,0,30-39,7 años,81,Single,PhD
574,92163,0,0,817,79,555,106,83,20,0,5,10,5,2,1,45,2723,2,40-49,7 años,2086,Married,Master
575,69882,0,0,292,79,555,120,83,126,1,3,7,9,1,0,55,2390,0,50-59,6 años,1478,Single,Master
576,33178,1,0,12,6,2,11,2,16,1,1,0,3,4,0,43,2309,0,40-49,6 años,49,Together,Graduation
577,59973,0,0,130,30,168,20,34,0,1,3,4,7,1,0,48,2450,0,40-49,6 años,382,Married,PhD
578,17459,1,0,6,4,16,3,10,30,3,3,1,2,7,1,45,2442,0,40-49,6 años,69,Together,Master
579,23910,1,0,16,12,18,7,1,13,1,2,0,3,7,0,51,2770,0,50-59,7 años,67,Divorced,Graduation
580,42169,1,1,19,0,9,0,0,2,2,1,0,3,8,0,51,2412,0,50-59,6 años,30,Married,Master
581,26224,1,0,4,7,15,13,9,15,3,2,1,3,6,0,42,2549,0,40-49,6 años,63,Married,2n Cycle
582,31089,1,0,31,3,31,2,8,4,3,3,0,4,8,0,39,2840,0,30-39,7 años,79,Together,Graduation
583,30081,0,1,36,0,2,0,0,4,1,1,0,3,7,0,59,2652,0,50-59,7 años,42,Single,Graduation
584,62807,0,1,526,28,135,10,21,99,3,5,3,12,5,0,60,2826,0,60-69,7 años,819,Together,Graduation
585,72906,0,0,400,32,519,71,75,54,1,3,4,9,1,0,65,2444,0,60-69,6 años,1151,Single,Graduation
586,61467,0,2,410,16,114,0,5,49,3,5,2,10,5,0,72,2726,0,70+,7 años,594,Married,PhD
587,49618,1,1,80,3,26,4,2,14,4,3,1,3,7,0,54,2678,0,50-59,7 años,129,Together,Master
588,21888,1,0,88,10,46,2,3,64,4,5,1,2,10,1,34,2706,0,30-39,7 años,213,Single,Master
589,42429,0,1,55,0,6,2,0,4,2,1,1,3,5,0,47,2297,0,40-49,6 años,67,Widow,Graduation
590,26150,2,1,5,1,13,3,5,1,1,1,0,3,7,0,64,2634,0,60-69,7 años,28,Divorced,Graduation
591,30801,0,1,8,4,5,15,2,11,2,1,0,3,7,0,45,2770,0,40-49,7 años,45,Married,Basic
592,81168,0,0,410,0,555,120,22,22,1,6,4,7,3,0,55,2212,1,50-59,6 años,1193,Married,Graduation
593,26877,0,0,101,13,76,20,18,40,2,3,1,6,6,0,51,2473,0,50-59,6 años,268,Single,Master
594,45006,0,0,162,25,53,16,0,10,1,3,1,7,3,0,76,2505,0,70+,6 años,266,Widow,Master
595,18978,1,0,2,8,1,4,7,15,1,1,0,3,8,0,47,2724,0,40-49,7 años,37,Married,Basic
596,22574,2,1,25,0,8,2,0,2,2,2,0,3,7,0,53,2403,0,50-59,6 años,37,Married,Graduation
597,48240,0,0,389,79,248,64,49,41,3,6,3,13,5,1,51,2756,0,50-59,7 años,882,Single,PhD
598,45837,1,1,215,13,87,17,17,24,5,6,2,5,7,0,46,2497,0,40-49,6 años,373,Married,Graduation
599,35791,2,1,27,0,5,0,0,3,2,1,0,3,8,0,55,2578,0,50-59,7 años,35,Single,Master
600,54162,1,1,5,6,10,6,5,10,1,1,0,3,4,0,42,2627,0,40-49,7 años,42,Widow,Graduation
601,30522,0,1,179,8,83,19,11,26,5,1,2,9,2,0,60,2840,0,60-69,7 años,326,Married,Master
602,54456,0,1,352,0,27,10,0,15,3,6,1,7,6,0,59,2512,0,50-59,6 años,404,Married,PhD
603,31632,0,0,17,8,12,11,15,32,1,2,1,2,7,0,49,2509,0,40-49,6 años,95,Single,Graduation
604,72298,0,0,625,35,169,58,17,35,1,4,3,6,1,0,71,2270,2,70+,6 años,939,Widow,Graduation
605,36975,1,0,10,6,11,0,4,2,1,1,0,3,7,0,42,2342,0,40-49,6 años,33,Single,2n Cycle
606,72635,0,0,390,22,323,104,35,107,1,6,8,6,3,0,65,2550,1,60-69,6 años,981,Married,2n Cycle
607,13624,1,0,10,2,15,2,1,6,2,2,0,3,6,0,44,2684,0,40-49,7 años,36,Married,Graduation
608,84196,0,1,215,63,507,120,31,126,1,8,4,7,3,0,45,2550,0,40-49,6 años,1237,Single,Graduation
609,70971,0,1,1001,17,555,93,83,17,6,11,10,5,7,1,60,2805,0,60-69,7 años,1825,Together,Graduation
610,34487,1,1,19,18,33,24,1,8,3,3,0,3,9,0,43,2820,0,40-49,7 años,103,Divorced,PhD
611,28769,1,0,41,5,129,10,3,3,3,4,1,4,9,0,43,2717,0,40-49,7 años,191,Single,Graduation
612,69084,1,0,1181,79,199,39,30,30,2,7,3,13,8,0,50,2381,0,50-59,6 años,1586,Married,PhD
613,65488,0,0,603,45,207,36,18,54,1,3,4,6,1,0,62,2175,0,60-69,5 años,963,Together,PhD
614,62466,0,1,129,79,259,120,83,83,5,6,3,12,4,0,50,2324,0,50-59,6 años,889,Married,2n Cycle
615,32218,0,0,10,24,15,13,1,30,1,2,1,3,7,1,60,2293,1,60-69,6 años,93,Single,2n Cycle
616,83917,0,0,514,22,555,42,83,79,1,6,7,7,3,1,47,2596,0,40-49,7 años,1587,Single,Graduation
617,46102,2,1,14,0,1,0,0,1,1,1,0,2,7,0,58,2270,0,50-59,6 años,16,Divorced,Graduation
618,84574,0,0,387,20,555,38,54,126,1,9,10,11,5,0,68,2549,0,60-69,6 años,1375,Single,Graduation
619,56181,0,1,121,79,69,8,44,48,1,4,2,7,4,0,58,2696,0,50-59,7 años,393,Married,Graduation
620,63120,0,1,965,69,279,54,41,69,5,8,4,9,7,1,70,2798,0,70+,7 años,1477,Divorced,Master
621,73691,0,1,707,21,250,85,43,73,2,6,2,8,2,0,49,2394,1,40-49,6 años,1179,Married,Graduation
622,63381,0,1,571,50,142,33,50,126,4,4,5,13,2,0,60,2791,0,60-69,7 años,1005,Together,Graduation
623,76140,0,0,586,66,555,17,0,26,1,5,9,6,2,0,72,2206,0,70+,6 años,1348,Together,PhD
624,62859,0,1,1063,79,102,16,12,25,4,9,4,6,6,0,61,2705,0,60-69,7 años,1307,Divorced,PhD
625,45906,0,1,305,3,27,4,3,126,2,5,4,4,5,0,56,2577,1,50-59,7 años,486,Single,Graduation
626,77632,0,0,1200,79,555,0,42,126,1,4,2,6,2,1,73,2635,2,70+,7 años,2252,Together,Master
627,46463,1,1,163,2,40,8,11,11,6,3,1,6,6,0,49,2474,0,40-49,6 años,235,Married,PhD
628,105471,0,0,1009,79,104,120,21,126,0,9,8,13,3,1,50,2683,2,50-59,7 años,1724,Together,Graduation
629,55282,1,0,125,6,73,8,4,19,1,3,1,6,4,0,50,2357,0,50-59,6 años,235,Divorced,Master
630,78710,0,1,721,0,152,119,50,50,3,7,6,12,4,0,43,2196,0,40-49,6 años,1092,Married,Master
631,66886,0,1,315,4,62,41,31,126,2,7,1,7,5,0,62,2445,0,60-69,6 años,599,Together,Graduation
632,98777,0,0,1000,19,555,120,83,38,0,4,6,9,1,0,60,2291,1,60-69,6 años,2008,Single,Master
633,29103,1,0,16,0,17,6,3,6,2,1,0,3,9,0,35,2830,0,30-39,7 años,48,Together,Graduation
634,67445,0,1,757,79,217,29,80,11,5,9,6,12,6,0,46,2845,0,40-49,7 años,1174,Married,Graduation
635,50616,0,1,30,2,25,0,1,9,1,1,1,4,2,0,70,2236,0,70+,6 años,67,Together,PhD
636,49431,0,1,219,3,100,26,0,17,2,7,1,5,8,0,65,2854,0,60-69,7 años,365,Divorced,Graduation
637,61278,0,1,111,3,28,2,6,15,2,3,1,4,6,0,67,2335,0,60-69,6 años,165,Together,Graduation
638,26490,0,0,45,47,52,21,20,25,2,3,1,5,6,0,62,2804,0,60-69,7 años,210,Together,2n Cycle
639,73059,0,1,410,79,420,0,82,71,1,9,3,13,4,0,73,2461,0,70+,6 años,1095,Together,PhD
640,46734,1,2,100,1,39,6,1,76,4,3,2,3,6,0,54,2410,1,50-59,6 años,223,Single,PhD
641,56253,0,1,509,0,65,7,11,5,4,7,2,9,6,0,57,2728,0,50-59,7 años,597,Together,Graduation
642,19986,1,0,3,6,5,0,2,6,1,0,0,3,7,0,35,2386,0,30-39,6 años,22,Married,Graduation
643,58330,0,1,445,53,213,104,83,126,1,6,4,13,4,0,45,2345,0,40-49,6 años,1064,Widow,Graduation
644,25965,0,0,2,2,11,41,7,11,1,2,0,3,8,0,40,2819,0,40-49,7 años,74,Married,Basic
645,14661,0,0,4,1,11,6,2,2,1,1,0,3,6,0,64,2703,0,60-69,7 años,26,Together,Master
646,18690,0,0,6,1,7,23,4,19,1,1,1,2,8,0,61,2707,0,60-69,7 años,60,Married,Graduation
647,45068,0,1,14,0,3,0,0,3,1,1,0,2,7,0,46,2568,0,40-49,7 años,20,Together,PhD
648,21063,1,0,1,10,11,19,3,15,2,2,0,3,6,0,33,2436,0,30-39,6 años,59,Single,Basic
649,29187,1,0,26,0,6,0,0,2,1,1,0,3,8,0,52,2575,0,50-59,7 años,34,Married,PhD
650,54690,1,1,111,16,37,7,9,18,3,3,1,5,3,0,49,2393,0,40-49,6 años,198,Married,2n Cycle
651,59304,0,1,418,61,428,80,51,10,3,7,8,10,5,0,56,2494,0,50-59,6 años,1048,Married,PhD
652,59247,0,2,327,9,122,19,14,83,5,5,2,9,6,0,58,2392,0,50-59,6 años,574,Single,Master
653,66731,0,1,371,79,194,58,83,126,4,4,3,6,3,0,50,2814,0,50-59,7 años,1029,Widow,Graduation
654,77353,0,1,275,59,107,69,83,59,2,6,4,8,4,0,40,2354,0,40-49,6 años,670,Married,Graduation
655,52614,0,1,789,0,142,12,9,38,2,2,4,8,8,0,45,2734,0,40-49,7 años,990,Single,PhD
656,26751,2,0,1,1,5,0,3,1,1,1,0,2,8,0,46,2197,0,40-49,6 años,11,Married,Graduation
657,81300,0,1,1004,12,145,32,12,36,3,10,3,5,5,1,57,2766,1,50-59,7 años,1241,Married,PhD
658,70337,0,0,187,79,149,25,43,91,1,2,2,12,1,0,41,2337,0,40-49,6 años,576,Single,Graduation
659,36145,1,0,56,4,76,17,1,18,4,4,1,3,9,1,35,2537,1,30-39,6 años,172,Married,2n Cycle
660,65295,0,0,365,32,117,34,83,6,1,3,3,13,2,0,40,2347,0,40-49,6 años,664,Single,PhD
661,68118,0,1,595,23,123,10,23,126,2,8,9,4,6,0,57,2413,0,50-59,6 años,928,Divorced,Graduation
662,68743,0,0,1132,79,384,120,83,115,1,11,5,13,7,0,53,2827,0,50-59,7 años,2074,Divorced,Graduation
663,41039,0,0,34,11,137,120,61,45,1,8,1,5,8,0,38,2498,0,30-39,6 años,467,Together,2n Cycle
664,38946,0,1,116,6,82,6,6,41,2,3,1,6,5,0,65,2407,0,60-69,6 años,257,Together,Graduation
665,65777,0,0,565,32,435,28,32,54,1,2,8,6,1,0,53,2351,0,50-59,6 años,1146,Together,Graduation
666,66476,0,1,372,18,126,47,48,78,2,5,2,11,4,0,44,2638,0,40-49,7 años,689,Divorced,PhD
667,86857,0,0,899,79,555,120,83,40,1,5,6,10,2,1,48,2814,0,40-49,7 años,2114,Single,PhD
668,77845,0,0,760,40,480,0,40,26,1,3,5,12,1,0,31,2203,2,30-39,6 años,1346,Together,PhD
669,69476,0,0,260,79,555,63,9,67,1,4,6,4,2,0,51,2431,0,50-59,6 años,1044,Together,PhD
670,50611,0,1,459,0,24,6,0,4,6,4,5,7,6,1,60,2792,1,60-69,7 años,493,Divorced,PhD
671,61209,0,0,466,0,224,119,49,99,1,5,3,4,2,0,50,2467,0,50-59,6 años,957,Single,Graduation
672,42315,0,1,67,15,80,17,11,80,3,1,4,4,3,0,62,2511,0,60-69,6 años,270,Together,Master
673,13084,0,0,2,0,7,3,7,10,1,1,0,3,6,0,68,2398,0,60-69,6 años,29,Together,Basic
674,47570,1,1,67,1,20,0,2,31,3,2,2,2,7,1,71,2555,0,70+,7 años,121,Widow,Master
675,61923,0,2,92,4,18,3,3,6,1,2,1,4,3,0,59,2497,0,50-59,6 años,126,Married,Master
676,34824,0,0,4,2,11,2,0,4,1,1,0,2,6,0,25,2254,0,20-29,6 años,23,Single,Graduation
677,26518,1,1,20,1,28,3,3,2,3,2,0,3,8,1,71,2606,0,70+,7 años,57,Single,PhD
678,45938,0,0,273,11,178,62,83,29,2,8,4,6,6,0,59,2397,0,50-59,6 años,636,Single,Graduation
679,78468,0,0,434,22,388,104,22,34,1,10,7,10,4,0,60,2240,1,60-69,6 años,1004,Together,Graduation
680,78901,0,1,321,11,309,33,26,34,3,9,3,5,4,0,47,2444,0,40-49,6 años,734,Divorced,Graduation
681,71427,2,0,212,79,177,15,64,23,2,8,2,8,4,0,42,2268,0,40-49,6 años,614,Married,Graduation
682,71022,0,1,909,12,278,0,12,126,3,5,2,11,8,0,42,2297,1,40-49,6 años,1453,Divorced,Graduation
683,90247,0,0,1184,32,352,21,16,16,1,3,4,7,1,1,32,2220,3,30-39,6 años,1621,Single,Master
684,41335,1,0,112,19,21,16,14,5,3,4,1,4,7,0,52,2344,0,50-59,6 años,187,Divorced,Master
685,71952,1,0,656,79,455,52,83,93,2,8,4,8,4,0,34,2694,2,30-39,7 años,1443,Married,Graduation
686,35682,1,0,23,0,8,6,2,18,1,1,1,3,2,0,50,2161,0,50-59,5 años,57,Divorced,PhD
687,43185,0,1,537,6,42,16,6,30,2,9,3,6,8,0,69,2604,0,60-69,7 años,637,Divorced,Graduation
688,66375,0,1,712,0,45,0,0,126,3,2,4,5,7,0,72,2379,1,70+,6 años,948,Together,PhD
689,35178,1,0,23,1,13,2,2,18,1,1,1,2,7,1,49,2694,1,40-49,7 años,59,Married,Master
690,25252,1,0,1,3,4,2,2,6,1,1,0,2,8,0,34,2511,0,30-39,6 años,18,Married,Graduation
691,55250,0,1,664,58,83,32,0,66,4,7,5,10,5,0,55,2775,0,50-59,7 años,903,Single,Master
692,33249,1,0,6,10,21,19,14,42,2,2,1,3,6,0,45,2653,0,40-49,7 años,112,Single,Graduation
693,58398,0,0,299,5,201,21,21,49,3,5,4,8,4,0,67,2570,0,60-69,7 años,596,Together,Graduation
694,50272,1,0,99,13,66,43,8,4,3,4,1,5,7,0,38,2485,0,30-39,6 años,233,Together,Graduation
695,76618,0,0,749,40,294,120,83,126,1,3,2,5,1,0,45,2728,0,40-49,7 años,1511,Married,PhD
696,87305,0,0,345,25,501,63,83,80,1,5,3,8,2,1,60,2803,1,60-69,7 años,1152,Divorced,2n Cycle
697,25851,1,0,9,4,18,7,5,5,2,2,0,3,7,0,42,2662,0,40-49,7 años,48,Together,Graduation
698,58710,0,1,440,79,368,0,83,126,6,11,5,9,6,0,50,2614,0,50-59,7 años,1185,Divorced,Graduation
699,45160,1,1,8,2,5,3,0,3,1,1,0,2,7,0,62,2251,0,60-69,6 años,21,Single,Graduation
700,74806,0,1,670,9,249,0,28,9,2,5,4,5,4,0,55,2716,0,50-59,7 años,965,Married,Master
701,59111,0,0,524,0,134,28,28,126,1,11,1,8,7,0,66,2582,0,60-69,7 años,869,Married,Graduation
702,18988,1,0,6,0,6,2,1,1,2,1,0,3,7,0,36,2196,0,30-39,6 años,16,Married,PhD
703,72190,0,0,597,79,555,120,83,126,1,5,6,4,3,0,55,2660,0,50-59,7 años,1947,Married,Graduation
704,7500,1,0,7,0,12,13,7,32,5,4,1,2,9,1,44,2856,1,40-49,7 años,71,Married,Graduation
705,44794,0,1,54,0,7,0,0,4,1,2,0,3,6,0,54,2180,0,50-59,5 años,65,Married,Graduation
706,80395,0,0,445,25,555,80,76,48,1,6,5,12,2,0,65,2377,1,60-69,6 años,1380,Married,Graduation
707,75012,0,0,294,79,218,120,58,126,1,3,8,11,1,0,44,2314,0,40-49,6 años,1027,Divorced,Master
708,56962,2,1,292,3,77,10,3,26,6,6,3,5,7,0,55,2420,0,50-59,6 años,411,Married,Master
709,89891,0,0,412,22,132,59,28,126,1,11,6,8,4,0,29,2599,1,20-29,7 años,836,Together,Graduation
710,35946,1,1,8,0,3,0,0,0,1,0,0,3,5,0,71,2434,0,70+,6 años,11,Divorced,PhD
711,53593,1,1,349,4,78,6,0,43,6,7,2,6,8,0,67,2850,0,60-69,7 años,480,Together,PhD
712,66373,1,1,328,9,124,12,24,109,6,4,2,10,3,0,42,2541,0,40-49,6 años,606,Married,Graduation
713,45072,1,2,144,2,99,7,2,30,5,6,1,4,8,0,72,2415,0,70+,6 años,284,Divorced,PhD
714,89694,1,1,1126,28,211,37,28,42,3,4,3,4,5,0,47,2422,3,40-49,6 años,1472,Divorced,Graduation
715,72025,0,0,967,0,555,43,50,0,1,4,8,13,2,1,71,2220,3,70+,6 años,1677,Married,Graduation
716,67432,0,1,432,79,341,120,83,126,2,8,5,4,4,0,47,2616,0,40-49,7 años,1335,Married,Graduation
717,70545,0,1,138,39,63,55,18,21,1,4,1,7,2,0,68,2185,0,60-69,5 años,334,Together,Master
718,17487,1,0,0,0,1,7,4,6,1,1,0,2,7,0,31,2627,0,30-39,7 años,18,Married,Basic
719,62882,0,1,509,79,497,78,24,97,2,7,5,6,4,0,51,2848,0,50-59,7 años,1338,Together,Graduation
720,64108,0,1,948,10,86,13,21,21,4,6,9,11,5,0,67,2622,0,60-69,7 años,1099,Single,PhD
721,34941,1,1,39,2,25,4,3,24,2,3,0,3,8,0,64,2639,0,60-69,7 años,97,Together,Master
722,48767,1,2,28,1,21,3,0,10,3,2,1,3,5,0,70,2338,0,70+,6 años,63,Single,PhD
723,38702,1,0,13,11,24,13,8,40,2,3,0,4,6,0,42,2491,0,40-49,6 años,109,Together,2n Cycle
724,82224,0,0,307,26,360,120,31,40,1,6,9,5,3,0,56,2314,1,50-59,6 años,902,Married,Graduation
725,83844,0,0,901,31,345,75,31,126,1,4,4,11,1,0,68,2572,1,60-69,7 años,1574,Together,Graduation
726,17003,1,0,2,5,12,4,8,7,3,2,0,4,5,0,45,2361,0,40-49,6 años,38,Married,2n Cycle
727,71163,0,0,283,17,372,120,83,44,1,3,8,12,1,0,25,2271,0,20-29,6 años,960,Single,Graduation
728,33697,1,0,4,3,7,0,3,11,1,1,0,2,7,0,50,2446,1,50-59,6 años,28,Single,Graduation
729,63564,0,0,769,79,252,15,34,65,1,10,10,7,6,1,66,2310,1,60-69,6 años,1215,Married,2n Cycle
730,83443,0,0,518,42,555,55,56,84,1,6,10,5,2,0,48,2339,0,40-49,6 años,1497,Together,PhD
731,51518,0,1,350,8,66,17,4,4,2,3,2,10,3,0,62,2428,0,60-69,6 años,449,Together,PhD
732,58330,0,1,445,53,213,104,83,126,1,6,4,13,4,0,45,2345,0,40-49,6 años,1064,Widow,Graduation
733,80952,0,0,778,79,555,41,27,44,1,8,5,11,8,1,51,2645,3,50-59,7 años,1757,Married,Graduation
734,75507,0,0,709,79,374,104,80,80,1,8,6,6,3,0,41,2217,0,40-49,6 años,1440,Together,Graduation
735,63855,0,0,359,35,314,93,83,89,1,7,3,13,4,0,42,2664,0,40-49,7 años,1006,Together,2n Cycle
736,62220,0,1,799,12,375,16,12,12,5,7,6,5,6,1,48,2846,0,40-49,7 años,1226,Together,PhD
737,58512,0,1,895,10,101,13,0,126,5,3,4,8,8,0,56,2442,0,50-59,6 años,1171,Married,Graduation
738,40662,1,0,40,2,23,0,4,23,2,2,1,3,4,0,41,2630,0,40-49,7 años,92,Married,Master
739,38829,0,1,76,0,7,0,0,16,1,3,2,2,5,0,61,2243,0,60-69,6 años,99,Married,PhD
740,35523,1,0,11,5,22,12,5,11,2,3,0,3,7,0,39,2428,0,30-39,6 años,66,Married,2n Cycle
741,79146,1,1,245,16,223,21,43,16,2,8,1,8,6,0,53,2225,0,50-59,6 años,564,Single,Graduation
742,78285,0,0,647,79,391,120,67,40,1,6,4,10,3,0,32,2403,0,30-39,6 años,1427,Married,Master
743,31626,1,0,39,1,9,2,1,34,1,2,1,2,7,1,42,2574,1,40-49,7 años,86,Single,PhD
744,75127,0,0,203,35,305,46,17,126,1,2,10,5,1,0,68,2197,0,60-69,6 años,833,Single,Graduation
745,48726,0,1,138,3,38,4,0,59,3,3,2,4,6,0,65,2587,0,60-69,7 años,242,Married,Graduation
746,74985,0,0,587,51,555,120,0,86,1,3,6,7,2,0,43,2815,0,40-49,7 años,1869,Married,Graduation
747,67430,0,0,595,79,291,120,83,121,1,11,5,12,6,0,33,2821,0,30-39,7 años,1364,Together,Graduation
748,46891,0,1,43,12,23,29,15,61,1,2,1,4,4,0,55,2460,0,50-59,6 años,183,Married,2n Cycle
749,62058,0,1,301,7,74,10,0,58,4,6,1,7,6,0,64,2558,0,60-69,7 años,450,Married,Master
750,72063,0,1,180,32,348,76,32,90,2,5,2,12,2,0,41,2520,0,40-49,6 años,758,Married,Graduation
751,78939,0,0,794,79,243,120,0,126,1,8,5,6,3,0,69,2358,0,60-69,6 años,1507,Married,PhD
752,42720,1,1,392,5,91,28,26,112,6,7,3,7,8,1,55,2590,0,50-59,7 años,654,Single,Graduation
753,33622,1,1,39,1,22,3,4,12,3,2,0,4,7,0,48,2601,0,40-49,7 años,81,Married,Graduation
754,6835,0,1,107,2,12,2,2,12,0,0,0,1,13,0,63,2727,0,60-69,7 años,137,Together,PhD
755,41452,1,1,13,0,3,0,0,0,1,1,0,2,7,0,67,2639,0,60-69,7 años,16,Together,Graduation
756,40760,0,1,70,0,17,0,0,6,2,2,1,3,6,0,55,2462,0,50-59,6 años,93,Single,PhD
